Volume,Area,Length,Width
1.5,333,32.4,12.6
1.5,330,32.7,13.1
0.5,134,17.9,9.4
0.5,131,22,7.4
0.5,149,18.2,9.9
1,218,25.6,10.9
1,247,26.4,13.1
1,257,31,11.8
1,227,25,14
2,374,31.3,15.2
2,379,34.4,13.9
2,371,33.6,13.9
